Slowstart,Run,Job ID,Total Time (s),Map Completion (s),Reduce Start (s),Reduce Completion (s),CPU Time (s),Avg Shuffle (s),Avg Reduce (s)
0.05,1,job_1764162740815_0321,41.74,30.48,15.35,41.7,165.9,14.84,8.14
0.05,2,job_1764162740815_0322,42.0,30.33,15.29,41.97,163.32,13.76,6.73
0.05,3,job_1764162740815_0323,42.0,30.58,15.28,41.65,155.56,13.3,6.85
0.1,1,job_1764162740815_0324,85.42,65.56,35.53,85.37,172.63,28.05,13.44
0.1,2,job_1764162740815_0325,78.1,58.3,16.25,78.07,188.31,38.16,12.79
0.1,3,job_1764162740815_0326,74.83,59.31,14.31,74.8,192.14,39.94,10.01
0.2,1,job_1764162740815_0327,69.87,58.62,17.28,69.85,180.24,37.97,8.23
0.2,2,job_1764162740815_0328,52.9,40.77,17.62,52.78,171.87,21.66,6.42
0.2,3,job_1764162740815_0329,66.29,50.51,18.56,66.25,174.58,31.07,9.44
0.3,1,job_1764162740815_0330,75.34,57.99,18.23,75.31,193.98,36.84,11.36
0.3,2,job_1764162740815_0331,77.43,58.63,18.23,77.4,196.67,37.89,11.12
0.3,3,job_1764162740815_0332,53.17,40.92,18.68,53.1,173.48,21.11,7.64
0.5,1,job_1764162740815_0333,65.59,37.38,28.31,65.56,204.96,11.32,9.86
0.5,2,job_1764162740815_0334,67.37,37.42,28.32,67.34,209.52,11.69,11.7
0.5,3,job_1764162740815_0335,59.83,48.73,23.3,59.78,182.52,24.56,8.15
0.7,1,job_1764162740815_0336,52.71,41.8,29.84,52.66,170.4,12.05,8.0
0.7,2,job_1764162740815_0337,55.25,42.93,29.91,55.19,176.8,13.37,9.14
0.7,3,job_1764162740815_0338,53.65,41.75,30.02,53.6,173.39,11.82,9.05
0.8,1,job_1764162740815_0339,54.39,41.8,32.88,54.35,176.74,9.15,9.6
0.8,2,job_1764162740815_0340,53.35,41.44,31.7,53.29,171.29,9.79,8.67
0.8,3,job_1764162740815_0341,95.75,61.53,56.58,95.72,233.17,10.61,11.11
0.9,1,job_1764162740815_0342,100.12,60.51,61.98,100.05,218.54,10.07,13.5
0.9,2,job_1764162740815_0343,234.93,156.64,157.37,234.81,311.77,14.01,20.0
0.9,3,job_1764162740815_0344,232.56,154.77,156.37,232.49,316.35,13.7,18.9
1.0,1,job_1764162740815_0345,232.22,155.09,157.34,232.16,311.07,13.09,17.46
1.0,2,job_1764162740815_0346,233.45,155.68,158.32,233.35,311.92,13.44,18.02
1.0,3,job_1764162740815_0347,235.46,155.59,158.58,235.39,314.78,13.78,19.29
