Data Type,Slowstart,Avg Total Time (s),Reduce Stddev (s),Straggler Ratio,Max Reduce (s),Min Reduce (s)
Skewed,0.05,91.24,9.81,2.01,50.86,25.36
Skewed,0.1,89.74,14.46,4.25,59.0,13.87
Skewed,0.2,95.67,10.15,1.88,55.32,29.35
Skewed,0.3,119.47,17.8,2.7,85.67,31.73
Skewed,0.5,87.38,11.92,6.55,46.71,7.13
Skewed,0.7,93.81,13.3,6.88,46.97,6.83
Skewed,0.8,114.41,15.54,5.89,55.58,9.44
Skewed,0.9,96.25,13.2,6.91,47.47,6.87
Skewed,1.0,144.34,24.07,11.65,78.9,6.77
Uniform,0.05,103.08,7.5,1.45,64.51,44.56
Uniform,0.1,102.82,17.69,2.58,68.91,26.7
Uniform,0.2,89.71,4.16,1.39,41.27,29.75
Uniform,0.3,84.21,5.37,1.58,34.41,21.76
Uniform,0.5,90.54,10.41,2.58,42.28,16.37
Uniform,0.7,87.38,7.29,1.93,33.53,17.36
Uniform,0.8,96.81,7.06,2.27,32.51,14.34
Uniform,0.9,102.53,7.62,2.29,30.89,13.49
Uniform,1.0,101.79,8.06,2.53,31.76,12.56
