Slowstart,Run,Total Time (s),Map Complete (s),Min Reduce (s),Avg Reduce (s),Max Reduce (s),Reduce Stddev (s)
0.05,1,67.06,63.68,10.61,24.68,36.5,10.92
0.05,2,76.08,65.11,14.6,28.17,38.51,10.22
0.05,3,63.39,61.25,6.81,20.49,33.81,10.53
0.1,1,65.73,63.46,11.85,23.23,36.26,9.99
0.1,2,62.72,60.4,6.32,19.78,32.83,10.77
0.1,3,67.8,62.25,6.88,22.12,35.27,11.09
0.2,1,62.67,60.51,8.83,20.0,31.24,9.63
0.2,2,62.51,60.56,10.99,20.03,32.04,9.67
0.2,3,65.84,62.1,9.11,21.07,32.77,10.74
0.3,1,60.07,56.83,6.31,18.78,26.7,8.31
0.3,2,62.76,60.15,9.57,19.63,29.67,8.74
0.3,3,63.46,61.47,10.81,20.62,32.79,9.57
0.5,1,59.77,55.48,6.62,15.67,23.79,7.1
0.5,2,59.4,56.44,6.86,17.44,24.54,7.49
0.5,3,62.23,60.3,8.04,19.18,30.44,9.21
0.7,1,65.85,61.17,7.26,9.72,11.25,1.4
0.7,2,64.73,62.05,9.06,10.07,11.29,0.86
0.7,3,66.11,63.81,11.05,13.66,15.29,1.46
0.8,1,73.76,65.4,7.53,10.04,15.29,3.16
0.8,2,65.25,63.1,10.12,12.19,13.74,1.2
0.8,3,67.77,56.19,7.04,9.69,13.92,2.73
0.9,1,74.36,58.9,5.48,7.51,12.77,3.19
0.9,2,72.84,56.01,5.4,7.76,13.92,3.74
0.9,3,74.45,58.48,5.53,7.51,12.95,3.28
1.0,1,77.37,60.78,5.38,7.43,12.79,3.31
1.0,2,75.48,59.0,5.48,7.55,12.87,3.24
1.0,3,74.25,57.76,5.42,7.41,12.61,3.14
