Data Type,Slowstart,Avg Total Time (s),Reduce Stddev (s),Straggler Ratio,Max Reduce (s),Min Reduce (s)
Skewed,0.05,56.17,5.23,1.7,29.99,17.64
Skewed,0.1,56.13,6.57,2.56,32.22,12.6
Skewed,0.2,52.32,5.33,2.07,25.11,12.15
Skewed,0.3,56.2,5.56,2.15,27.84,12.93
Skewed,0.5,53.06,4.43,1.79,24.02,13.45
Skewed,0.7,56.37,2.39,1.66,16.47,9.94
Skewed,0.8,66.16,4.63,2.99,15.96,5.34
Skewed,0.9,61.13,3.46,2.68,13.36,4.99
Skewed,1.0,66.3,3.3,2.44,12.96,5.31
Uniform,0.05,68.84,10.56,3.4,36.27,10.67
Uniform,0.1,65.42,10.62,4.17,34.79,8.35
Uniform,0.2,63.67,10.01,3.32,32.02,9.64
Uniform,0.3,62.1,8.87,3.34,29.72,8.9
Uniform,0.5,60.47,7.93,3.66,26.26,7.17
Uniform,0.7,65.56,1.24,1.38,12.61,9.12
Uniform,0.8,68.93,2.36,1.74,14.32,8.23
Uniform,0.9,73.88,3.4,2.42,13.21,5.47
Uniform,1.0,75.7,3.23,2.35,12.76,5.43
